year,city_code,labor,cap_stock,gdp,emission,lnc,agg,indus,lagfdi,human,lnpgdp,roadpc,iv2,gldistance1
2004,110000.0,8540.654,5.589329204586775e6,465.6819439663315,88.1,4.478472532942134,1.918499143453843,28.367852858856462,4.075694866342649,4.301702639951845,-3.0479746695811842,2.456735772821304,0.27041179604679166,0.0
2004,120000.0,5277.8,3.788414724823295e6,230.73096493018673,78.3,4.360547602996758,2.356656524781773,51.439471977414065,7.2339077939737,3.0631601522706555,-3.6992554845740795,3.0458548829572014,-3.0062675754693737,0.0
2004,130100.0,872.8,795228.4142239395,133.37617828773168,40.64333563446998,3.704834877521875,1.7347538321052318,52.562544829206814,1.9187442681724083,2.312404896634545,-4.242190795894016,3.9442261459227805,-0.24722622495516686,0.0
2004,130200.0,714.8,312289.90647288505,126.6916114592659,44.2496062964201,3.7898464741583147,1.4015187882471212,53.83676856362383,1.8085614674509078,0.9020800766121652,-4.026192772482076,3.763839336016753,-2.0335966629895186,8.863013566521749
2004,130300.0,283.5,128962.25151862256,37.0254661770073,17.95704873427749,2.8879827249992474,1.252762968495368,44.28545945061295,4.51691357615867,2.0402798926836345,-4.310727621094409,3.698401872865945,-0.4747798170935338,0.0
2004,130600.0,627.9,578643.1459004198,97.01996506550219,41.80761304199695,3.7330784531383356,1.867669939616681,48.98825128146316,2.8765998876954986,1.0520913735435735,-4.720022057499737,4.180080785196648,0.025051572546780816,9.549556614994716
2004,140100.0,750.8,219339.55448874022,63.24868512110728,28.46628398448228,3.3487203688679847,1.4337534988715988,47.25372793832442,2.027655397858501,6.522624570705549,-3.9604649838941692,2.794347480851131,0.9959459183171916,0.0
2004,140300.0,213.5,32737.874424592195,13.231519650655022,15.96019210964441,2.7700976288943577,1.700075186539033,62.04583603133711,0.6377166092218746,0.3765832805573147,-4.558801627415843,3.6422983865543626,0.8309140907028018,8.855273266582907
2004,140400.0,319.0,135549.7154623374,27.693443478260875,28.83560581505298,3.3616109365589337,1.915043501074786,63.30175153685725,0.4545072292855983,0.5434488827430153,-4.744038093987986,4.689393993369941,0.9239493298014267,10.323463204472487
2004,140500.0,228.5,80694.52186689818,21.261869565217392,15.96019210964441,2.7700976288943577,2.0993317001590555,63.51439502845469,0.4327309859062691,0.3819509896324223,-4.60319901196948,4.75972894580469,0.7866830599511102,9.74082727659097
2004,140700.0,297.5,89006.13413462265,22.15661431064573,28.64406664744019,3.354946323892447,2.294216843323529,55.215371455307036,0.14746159608499293,0.8068404547236379,-4.928426208544945,5.624137835890871,0.9545147946902915,9.029285274478909
2004,140800.0,327.6,96417.88835031136,31.530916095890415,30.03190874531865,3.4022604412579787,2.390595970316759,58.460779008208675,1.24038336769193,0.2118738933099953,-5.04873256491876,5.672750365408472,0.4590058750361942,9.798628892070079
2004,150100.0,316.9,442948.4970757996,41.63414634146341,26.40822752863169,3.273675610411673,0.8533114882584456,43.27279828158563,2.5962394655478827,5.370656730321379,-3.942906141788648,3.3094610549438728,1.0550685379721156,0.0
2004,150200.0,347.4,627965.2183520384,47.34050583657588,16.45934260189533,2.8008932553198242,1.0301952882019676,53.376029773534064,2.697297194037914,1.6223839421613393,-3.7934685390782725,3.473768074496991,1.038760368241049,0.0
2004,150300.0,96.5,115762.6876446884,6.937479119210326,16.43592790067196,2.79946966434033,0.5622098231124694,73.22150545166397,2.3429585385074883,1.2256689557186835,-4.108777492715431,2.242642057027012,0.8966054416937066,9.830297372970051
2004,150400.0,305.5,174902.4155336052,25.680267295597485,16.45908621400595,2.8008776781553846,2.084363618885264,32.572791310656875,0.4383828744472273,0.1560412184350583,-5.147153469434199,5.6442373138716615,0.5761492116579983,10.9230544432935
2004,150500.0,225.0,191563.7587441763,23.989653679653678,16.43592790067196,2.79946966434033,1.6094379124341003,35.00787677227376,0.5681188338321694,0.4940336431764819,-4.864465933506699,5.289725002129832,-0.4183923054349035,10.31533330894293
2004,150600.0,139.0,197923.96694162185,29.036267175572515,16.45952330902219,2.8009042342598254,1.1968043148473233,50.923417437156125,1.6964059701404546,0.03287791334843282,-3.8530710223087707,5.372076638457112,0.9569289014996495,10.315415973864335
2004,150700.0,387.1,187847.6100099375,20.94312,16.45952330902219,2.8009042342598254,3.0142440784171622,27.88505246591721,0.872164176934915,0.359568812758417,-4.86245081990078,6.2622948972156305,0.3331424131931377,11.600294930139437
2004,150800.0,141.7,142513.0097236863,15.595827160493826,16.43592790067196,2.79946966434033,2.009273167530194,31.29464302205982,2.6722017687399298,0.18267663425327413,-4.7368595086789265,5.663691207241899,0.9510244705195204,10.838492643454723
2004,150900.0,131.2,244085.77590912624,16.867062615101293,16.43592790067196,2.79946966434033,1.4755254948478331,44.219694360023645,0.20927210653946357,0.3754878138575952,-5.081626361116562,5.4622769245087985,1.0441525829784926,9.969894585760212
2004,210100.0,998.0,851976.7415499965,138.4111241007194,32.68360771536827,3.486873659105807,1.2324300091399714,42.721555276913605,15.99537252190209,4.374364073961981,-3.914641299665723,3.003263976394995,-2.096579562195939,0.0
2004,210200.0,896.1,706126.9741963497,143.78136200716847,31.87809622585773,3.4619191352586434,1.3599727049669785,45.69363081141717,15.262700165654337,3.1102742165242168,-3.6650811193392565,3.008047434059182,-1.594096200634902,0.0
2004,210300.0,404.2,309580.35577805684,86.64944013781222,15.50838812738657,2.7413810470546016,1.1040700050186094,59.2047713717694,2.8658798349781573,0.6598835533521646,-3.689866392377424,3.27827054228643,-0.8814015014470863,9.556915676340823
